Antibody,Virus,Reference,Pubmed ID,IC50,IC80,ID50,Type
0.5gamma,6535_3,Ramirez Valdez et al. Virology 475:187 (2015),25486586,0.3,,,
0.5gamma,89_6,Ramirez Valdez et al. Virology 475:187 (2015),25486586,<.05,,,
0.5gamma,AC10_29,Ramirez Valdez et al. Virology 475:187 (2015),25486586,110,,,
0.5gamma,BAL_01,Ramirez Valdez et al. Virology 475:187 (2015),25486586,<.05,,,
0.5gamma,CAAN5342,Ramirez Valdez et al. Virology 475:187 (2015),25486586,80,,,
0.5gamma,CAP210_E8,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,CAP45_G3,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,CH040_C,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,CH058_C,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,CH077_C,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,CH106_C,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,DU156_12,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,DU172_17,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,DU422_1,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,HXB2,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,JRFL,Ramirez Valdez et al. Virology 475:187 (2015),25486586,3.47,,,
0.5gamma,KKGO,Ramirez Valdez et al. Virology 475:187 (2015),25486586,0.83,,,
0.5gamma,KMT,Ramirez Valdez et al. Virology 475:187 (2015),25486586,3.42,,,
0.5gamma,KTS376_96,Ramirez Valdez et al. Virology 475:187 (2015),25486586,8.04,,,
0.5gamma,MOKW,Ramirez Valdez et al. Virology 475:187 (2015),25486586,<.05,,,
0.5gamma,PVO_4,Ramirez Valdez et al. Virology 475:187 (2015),25486586,35,,,
0.5gamma,QH0692_42,Ramirez Valdez et al. Virology 475:187 (2015),25486586,38,,,
0.5gamma,REJO4541_67,Ramirez Valdez et al. Virology 475:187 (2015),25486586,6.5,,,
0.5gamma,REJO_C,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,RHPA4259_7,Ramirez Valdez et al. Virology 475:187 (2015),25486586,10.5,,,
0.5gamma,RHPA_C,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,SC422_8,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,SF162,Ramirez Valdez et al. Virology 475:187 (2015),25486586,<.05,,,
0.5gamma,SUMA_D5_8_2,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,TH966_8,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,TH976_17,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,THRO4156,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,THRO_C,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,TRJO4551_58,Ramirez Valdez et al. Virology 475:187 (2015),25486586,4.5,,,
0.5gamma,TRJO_C,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,TRO_11,Ramirez Valdez et al. Virology 475:187 (2015),25486586,82,,,
0.5gamma,UG037_8,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,WITO4160_33,Ramirez Valdez et al. Virology 475:187 (2015),25486586,1.1,,,
0.5gamma,WITO_C,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,YKI,Ramirez Valdez et al. Virology 475:187 (2015),25486586,13.78,,,
0.5gamma,YU2,Ramirez Valdez et al. Virology 475:187 (2015),25486586,4.28,,,
0.5gamma,ZM109_4,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,ZM135_10A,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,ZM197_7,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,ZM214_15,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,ZM233_6,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,ZM249_1,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0.5gamma,ZM53_12,Ramirez Valdez et al. Virology 475:187 (2015),25486586,>150,,,
0PV-a.01,0013095_2_11,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,001428_2_42,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,0077_V1_C16,Kong et al. Cell 178:567-584.e19 (2019),31348886,1.7,5.45,,gp41
0PV-a.01,00836_2_5,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,0260_V5_C36,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,0330_V4_C3,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,0439_V5_C1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,0815_V3_C3,Kong et al. Cell 178:567-584.e19 (2019),31348886,0.375,2.73,,gp41
0PV-a.01,0921_V2_C14,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,16055_2_3,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,16845_2_22,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,16936_2_21,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,191821_E6_1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,231965_C1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,235_47,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,242_14,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,246_F3_C10_2,Kong et al. Cell 178:567-584.e19 (2019),31348886,177,>500,,gp41
0PV-a.01,247_23,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,25710_2_43,Kong et al. Cell 178:567-584.e19 (2019),31348886,0.179,0.752,,gp41
0PV-a.01,25711_2_4,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,25925_2_22,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,26191_2_48,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,263_8,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,269_12,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,271_11,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,286_36,Kong et al. Cell 178:567-584.e19 (2019),31348886,3.67,23.9,,gp41
0PV-a.01,288_38,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,3016_V5_C45,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,3168_V4_C10,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,3301_V1_C24,Kong et al. Cell 178:567-584.e19 (2019),31348886,8.18,150,,gp41
0PV-a.01,3326_V4_C3,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,3337_V2_C6,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,3365_V2_C20,Kong et al. Cell 178:567-584.e19 (2019),31348886,61,>500,,gp41
0PV-a.01,3415_V1_C1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,3468_V1_C12,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,3589_V1_C4,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,3637_V5_C3,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,3718_3_11,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,3817_V2_C59,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,3873_V1_C24,Kong et al. Cell 178:567-584.e19 (2019),31348886,38.7,355,,gp41
0PV-a.01,3988_25,Kong et al. Cell 178:567-584.e19 (2019),31348886,48.7,>500,,gp41
0PV-a.01,398_F1_F6_20,Kong et al. Cell 178:567-584.e19 (2019),31348886,17.1,440,,gp41
0PV-a.01,45_01DG5,Kong et al. Cell 178:567-584.e19 (2019),31348886,169,>500,,gp41
0PV-a.01,57128_VRC15,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,5768_4,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,6095_V1_C10,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,6101_1,Kong et al. Cell 178:567-584.e19 (2019),31348886,285,>500,,gp41
0PV-a.01,620345_C1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,6322_V4_C1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,6405_V4_C34,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,6471_V1_C16,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,6535_3,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,6540_V4_C1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,6545_V4_C1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,6631_V3_C10,Kong et al. Cell 178:567-584.e19 (2019),31348886,13.6,183,,gp41
0PV-a.01,6644_V2_C33,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,6785_V5_C14,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,6838_V1_C35,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,703010217_B6,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,7165_18,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,89_6,Kong et al. Cell 178:567-584.e19 (2019),31348886,27.4,299,,gp41
0PV-a.01,928_28,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,92BR025_9,Kong et al. Cell 178:567-584.e19 (2019),31348886,96,446,,gp41
0PV-a.01,92RW020_2,Kong et al. Cell 178:567-584.e19 (2019),31348886,231,>500,,gp41
0PV-a.01,96ZM651_02,Kong et al. Cell 178:567-584.e19 (2019),31348886,0.849,5.42,,gp41
0PV-a.01,A03349M1_VRC4A,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,A07412M1_VRC12,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,AC10_29,Kong et al. Cell 178:567-584.e19 (2019),31348886,8.59,178,,gp41
