Name,Length_V1,Glyco(Nx[ST])_V1,NP[ST]_V1,NN[ST][ST]_V1,Charge_V1,Length_V2,Glyco(Nx[ST])_V2,NP[ST]_V2,NN[ST][ST]_V2,Charge_V2,Length_V1V2,Glyco(Nx[ST])_V1V2,NP[ST]_V1V2,NN[ST][ST]_V1V2,Charge_V1V2,Length_V3,Glyco(Nx[ST])_V3,NP[ST]_V3,NN[ST][ST]_V3,Charge_V3,Length_V4,Glyco(Nx[ST])_V4,NP[ST]_V4,NN[ST][ST]_V4,Charge_V4,Length_V5,Glyco(Nx[ST])_V5,NP[ST]_V5,NN[ST][ST]_V5,Charge_V5
01_AE.CH.2008.S32615_178WK_C33.PQ282675,32,1,0,0,-2,40,0,0,0,1,70,1,0,0,-1,37,0,0,0,4,27,0,0,0,-1,15,0,0,0,1
01_AE.CH.x.ZENV32_0111_5.KU600816,24,0,0,0,-3,42,0,0,0,3,64,0,0,0,0,37,0,0,0,2,28,0,0,0,2,10,0,0,0,-2
01_AE.CH.x.ZENV92_1008_8.KU600817,34,0,0,0,-1,41,0,0,0,2,73,0,0,0,1,37,0,0,0,4,31,1,0,0,-1,19,0,0,0,-1
01_AE.CN.1999.AE01.EU363849,33,1,0,0,-1,40,0,0,0,4,71,1,0,0,3,37,0,0,0,2,28,0,0,0,-1,13,0,0,0,0
01_AE.CN.2005.AE03.EU363851,31,0,0,0,-1,42,0,0,0,2,71,0,0,0,1,37,0,0,0,2,28,0,0,0,-1,11,0,0,0,-1
01_AE.CN.2005.CNE62.HM215424,26,0,0,0,-1,41,0,0,0,3,65,0,0,0,2,37,0,0,0,3,26,0,0,0,-1,13,0,0,0,0
01_AE.CN.2006.AE02.EU363850,33,0,0,0,-2,44,1,0,0,4,75,1,0,0,2,37,0,0,0,2,28,0,0,0,0,11,0,0,0,1
01_AE.CN.2006.CNE3.HM215410,39,0,0,0,1,46,0,0,0,2,83,0,0,0,3,37,0,0,0,2,29,0,0,0,-2,12,0,0,0,0
01_AE.CN.2006.CNE5.HM215415,32,0,0,0,1,44,0,0,0,4,74,0,0,0,5,37,0,0,0,3,29,0,0,0,-3,13,1,0,0,0
01_AE.CN.2006.CNE59.HM215422,29,0,0,0,1,44,0,0,0,-1,71,0,0,0,0,37,0,0,0,3,33,0,0,0,-2,11,0,0,0,0
01_AE.CN.2006.CNE59_N651K.,29,0,0,0,1,44,0,0,0,-1,71,0,0,0,0,37,0,0,0,3,33,0,0,0,-2,11,0,0,0,0
01_AE.CN.2006.CNE8.HM215427,28,0,0,0,-1,40,0,0,0,1,66,0,0,0,0,37,0,0,0,3,28,0,0,0,-1,11,0,0,0,0
01_AE.CN.2006.YN192_31.GU475046,32,0,0,0,1,42,0,0,0,1,72,0,0,0,2,37,0,0,0,3,24,0,0,0,-1,12,0,0,0,-1
01_AE.CN.2006.HUB199_1.GU475025,32,0,1,0,-2,41,0,0,0,3,71,0,1,0,1,37,0,0,0,2,26,0,0,0,1,11,0,0,0,0
01_AE.CN.2007.BJOX005000_09_2.HM215367,34,0,0,0,-3,39,0,0,0,1,71,0,0,0,-2,37,0,0,0,6,21,0,0,0,0,12,0,0,0,0
01_AE.CN.2007.BJOX008000_04_3.HM215371,30,0,0,0,-1,43,0,0,0,3,71,0,0,0,2,37,0,0,0,1,26,0,0,0,0,10,1,0,0,-1
01_AE.CN.2007.BJOX009000_02_4.HM215372,29,1,0,0,0,41,0,0,0,3,68,1,0,0,3,37,0,0,0,3,26,0,0,0,0,12,0,0,0,-1
01_AE.CN.2007.BJOX010000_06_2.HM215373,36,0,0,0,0,41,0,0,0,2,75,0,0,0,2,37,0,0,0,5,26,0,0,0,0,12,0,0,0,0
01_AE.CN.2007.BJOX015000_11_5.HM215377,33,0,0,0,1,41,0,0,0,2,72,0,0,0,3,37,0,0,0,3,26,0,0,0,0,12,0,0,0,-1
01_AE.CN.2007.BJOX017000_07_1.HM215378,32,0,0,0,0,44,1,0,0,3,74,1,0,0,3,37,0,0,0,4,30,0,0,0,-4,11,0,0,0,1
01_AE.CN.2007.BJOX018000_02_3.HM215379,38,0,0,0,0,41,0,0,0,1,77,0,0,0,1,37,0,0,0,3,25,0,0,0,1,12,0,0,0,-1
01_AE.CN.2007.BJOX021000_03_3.HM215383,30,0,0,0,-2,43,1,0,0,2,71,1,0,0,0,37,0,0,0,4,28,0,0,0,-1,13,0,0,0,1
01_AE.CN.2007.BJOX023000_05_4.HM215385,36,0,0,0,0,42,1,0,0,0,76,1,0,0,0,37,0,0,0,3,26,0,0,0,-1,11,1,0,0,0
01_AE.CN.2007.BJOX025000_01_1.HM215386,30,0,0,0,-1,47,0,0,0,3,75,0,0,0,2,37,0,0,0,2,30,0,0,0,-2,12,0,0,0,0
01_AE.CN.2007.BJOX025000_05_5.HM215387,30,0,0,0,-1,47,0,0,0,3,75,0,0,0,2,37,0,0,0,2,30,0,0,0,0,12,0,0,0,0
01_AE.CN.2007.BJOX028000_10_3.HM215389,33,0,0,0,0,39,0,0,0,3,70,0,0,0,3,37,0,0,0,3,36,0,0,0,-2,11,0,0,0,-2
01_AE.CN.2007.BJOX028000_34_2.HM215390,33,0,0,0,0,39,0,0,0,3,70,0,0,0,3,37,0,0,0,3,36,0,0,0,-4,12,0,0,0,-1
01_AE.CN.2007.BJOX028000_43_5.HM215391,33,0,0,0,0,39,0,0,0,3,70,0,0,0,3,37,0,0,0,3,36,0,0,0,-1,11,0,0,0,-1
01_AE.CN.2007.BJOX030000_02_5.HM215393,29,0,0,0,1,39,1,0,0,1,66,1,0,0,2,37,0,0,0,4,26,0,0,0,0,11,0,0,0,0
01_AE.CN.2007.CNE107.HQ699986,29,0,0,0,0,43,0,0,0,-1,70,0,0,0,-1,37,0,0,0,7,27,0,0,0,0,12,0,0,0,-2
01_AE.CN.2007.CNE26.HQ699955,31,0,0,0,-1,44,1,0,0,1,73,1,0,0,0,37,0,0,0,3,25,0,0,0,1,12,0,0,0,0
01_AE.CN.2007.CNE28.HM215409,31,0,0,0,-1,44,1,0,0,1,73,1,0,0,0,37,0,0,0,3,25,0,0,0,1,12,0,0,0,0
01_AE.CN.2007.CNE55.HM215418,27,1,0,0,-2,43,0,0,0,1,68,1,0,0,-1,37,0,0,0,3,20,0,0,0,1,12,0,0,0,1
01_AE.CN.2007.CNE56.HM215419,29,0,0,0,0,43,0,0,0,-1,70,0,0,0,-1,37,0,0,0,7,27,0,0,0,0,12,0,0,0,-2
01_AE.CN.2007.GX142_2.GU475031,32,0,0,0,0,45,1,0,0,4,75,1,0,0,4,37,0,0,0,6,28,0,0,0,-1,11,0,0,0,0
01_AE.CN.2007.GX24_8.GU475015,32,0,1,0,-1,44,0,0,0,2,74,0,1,0,1,37,0,0,0,4,28,1,0,0,0,11,0,0,0,1
01_AE.CN.2007.GX25_29.GU475030,37,0,0,0,-2,43,0,0,0,2,78,0,0,0,0,38,0,0,0,3,28,0,0,0,0,12,0,0,0,0
01_AE.CN.2007.GZ187_10.GU475036,33,0,0,0,-1,44,1,0,0,0,75,1,0,0,-1,37,0,0,0,1,20,0,0,0,2,12,0,0,0,0
01_AE.CN.2007.GX155_55.GU475043,31,0,0,0,-2,44,0,0,0,1,73,0,0,0,-1,37,0,0,0,2,31,0,0,0,0,14,0,0,0,1
01_AE.CN.2007.GX28_31.GU475017,33,0,0,0,-3,43,0,0,0,2,74,0,0,0,-1,37,0,0,0,4,27,0,0,0,-1,12,1,0,0,-1
01_AE.CN.2007.GX54_6.GU475045,34,1,0,0,-1,50,0,0,0,4,82,1,0,0,3,37,0,0,0,2,28,0,0,0,-2,12,0,0,0,-1
01_AE.CN.2007.BJ17A_6.GU475028,33,0,0,0,-2,41,1,0,0,1,72,1,0,0,-1,37,0,0,0,5,24,0,0,0,1,13,0,0,0,-1
01_AE.CN.2007.BJX4_6.GU475020,32,0,0,0,-1,39,0,0,0,3,69,0,0,0,2,37,0,0,0,1,26,0,0,0,1,12,0,0,0,0
01_AE.CN.2007.GX11_13.GU475042,34,0,0,0,-1,42,0,0,0,2,74,0,0,0,1,37,0,0,0,1,27,0,0,0,1,12,0,0,0,0
01_AE.CN.2007.GX13_7.GU475037,25,0,0,0,2,42,1,0,0,2,65,1,0,0,4,37,0,0,0,3,41,0,0,0,-2,11,0,0,0,1
01_AE.CN.2007.BJ3_4.GU475040,30,0,0,0,0,42,0,0,0,1,70,0,0,0,1,37,0,0,0,2,30,0,0,0,0,12,0,0,0,-1
01_AE.CN.2007.BJ5_11.GU475024,29,0,0,0,0,41,0,0,0,1,68,0,0,0,1,37,0,0,0,3,26,0,0,0,-1,12,0,0,0,0
01_AE.CN.2007.GX34_21.GU475022,27,0,0,0,-1,41,0,0,0,4,66,0,0,0,3,37,0,0,0,2,26,0,0,0,3,11,0,0,0,-3
01_AE.CN.2007.GX2010_36.GU475026,28,0,0,0,0,41,0,0,0,1,67,0,0,0,1,37,0,0,0,4,26,0,0,0,-2,11,0,0,0,0
01_AE.CN.2008.BJOX031000_02_2.HM215394,28,0,0,0,-1,42,0,0,0,1,68,0,0,0,0,37,0,0,0,3,26,0,0,0,-1,12,0,0,0,0
01_AE.CN.2008.GX35_33.GU475023,32,0,0,0,0,41,0,0,0,3,71,0,0,0,3,37,0,0,0,2,28,0,0,0,-1,10,0,0,0,0
