Name,Length,Glyco(Nx[ST]),NP[ST],NN[ST][ST],Charge
01_AE.CH.2008.S32615_178WK_C33.PQ282675,15,0,0,0,1
01_AE.CH.x.ZENV32_0111_5.KU600816,10,0,0,0,-2
01_AE.CH.x.ZENV92_1008_8.KU600817,19,0,0,0,-1
01_AE.CN.1999.AE01.EU363849,13,0,0,0,0
01_AE.CN.2005.AE03.EU363851,11,0,0,0,-1
01_AE.CN.2005.CNE62.HM215424,13,0,0,0,0
01_AE.CN.2006.AE02.EU363850,11,0,0,0,1
01_AE.CN.2006.CNE3.HM215410,12,0,0,0,0
01_AE.CN.2006.CNE5.HM215415,13,1,0,0,0
01_AE.CN.2006.CNE59.HM215422,11,0,0,0,0
01_AE.CN.2006.CNE59_N651K.,11,0,0,0,0
01_AE.CN.2006.CNE8.HM215427,11,0,0,0,0
01_AE.CN.2006.YN192_31.GU475046,12,0,0,0,-1
01_AE.CN.2006.HUB199_1.GU475025,11,0,0,0,0
01_AE.CN.2007.BJOX005000_09_2.HM215367,12,0,0,0,0
01_AE.CN.2007.BJOX008000_04_3.HM215371,10,1,0,0,-1
01_AE.CN.2007.BJOX009000_02_4.HM215372,12,0,0,0,-1
01_AE.CN.2007.BJOX010000_06_2.HM215373,12,0,0,0,0
01_AE.CN.2007.BJOX015000_11_5.HM215377,12,0,0,0,-1
01_AE.CN.2007.BJOX017000_07_1.HM215378,11,0,0,0,1
01_AE.CN.2007.BJOX018000_02_3.HM215379,12,0,0,0,-1
01_AE.CN.2007.BJOX021000_03_3.HM215383,13,0,0,0,1
01_AE.CN.2007.BJOX023000_05_4.HM215385,11,1,0,0,0
01_AE.CN.2007.BJOX025000_01_1.HM215386,12,0,0,0,0
01_AE.CN.2007.BJOX025000_05_5.HM215387,12,0,0,0,0
01_AE.CN.2007.BJOX028000_10_3.HM215389,11,0,0,0,-2
01_AE.CN.2007.BJOX028000_34_2.HM215390,12,0,0,0,-1
01_AE.CN.2007.BJOX028000_43_5.HM215391,11,0,0,0,-1
01_AE.CN.2007.BJOX030000_02_5.HM215393,11,0,0,0,0
01_AE.CN.2007.CNE107.HQ699986,12,0,0,0,-2
01_AE.CN.2007.CNE26.HQ699955,12,0,0,0,0
01_AE.CN.2007.CNE28.HM215409,12,0,0,0,0
01_AE.CN.2007.CNE55.HM215418,12,0,0,0,1
01_AE.CN.2007.CNE56.HM215419,12,0,0,0,-2
01_AE.CN.2007.GX142_2.GU475031,11,0,0,0,0
01_AE.CN.2007.GX24_8.GU475015,11,0,0,0,1
01_AE.CN.2007.GX25_29.GU475030,12,0,0,0,0
01_AE.CN.2007.GZ187_10.GU475036,12,0,0,0,0
01_AE.CN.2007.GX155_55.GU475043,14,0,0,0,1
01_AE.CN.2007.GX28_31.GU475017,12,1,0,0,-1
01_AE.CN.2007.GX54_6.GU475045,12,0,0,0,-1
01_AE.CN.2007.BJ17A_6.GU475028,13,0,0,0,-1
01_AE.CN.2007.BJX4_6.GU475020,12,0,0,0,0
01_AE.CN.2007.GX11_13.GU475042,12,0,0,0,0
01_AE.CN.2007.GX13_7.GU475037,11,0,0,0,1
01_AE.CN.2007.BJ3_4.GU475040,12,0,0,0,-1
01_AE.CN.2007.BJ5_11.GU475024,12,0,0,0,0
01_AE.CN.2007.GX34_21.GU475022,11,0,0,0,-3
01_AE.CN.2007.GX2010_36.GU475026,11,0,0,0,0
01_AE.CN.2008.BJOX031000_02_2.HM215394,12,0,0,0,0
01_AE.CN.2008.GX35_33.GU475023,10,0,0,0,0
01_AE.CN.2008.SH6_81.GU475032,12,0,0,0,-1
01_AE.CN.2008.SHX335_24.GU475033,18,1,0,0,0
01_AE.CN.2008.SHX346_60.GU475034,12,0,0,0,0
01_AE.CN.2008.BJ6_17.GU475029,13,0,0,0,-1
01_AE.CN.2008.GX68_5.GU475044,13,0,0,0,0
01_AE.CN.2008.GX71_18.GU475016,14,0,0,0,-1
01_AE.CN.2008.GX72_27.GU475035,18,1,0,0,-2
01_AE.CN.2008.GX73_29.GU475038,12,0,0,0,-1
01_AE.CN.2008.GX74_20.GU475021,15,0,0,0,-1
01_AE.CN.2008.GX81_43.GU475014,14,0,0,0,-1
01_AE.CN.2008.GX83_47.GU475027,12,0,0,0,-1
01_AE.CN.2008.GX88_47.GU475018,11,1,0,0,-1
01_AE.CN.2008.GX8C_31.GU475039,12,0,0,0,-1
01_AE.CN.2008.GX90_1.GU475019,12,0,0,0,1
01_AE.CN.2008.GX91_2.GU475013,12,0,0,0,1
01_AE.CN.2009.09GX268_E332N_N334S.,14,0,0,0,-1
01_AE.CN.2009.09GX285_E332N_N334S.,12,0,0,0,-1
01_AE.CN.2009.09GX319_E332N_N334S.,11,0,0,0,-1
01_AE.CN.2009.09GX319_F330H_E332N_N334S.,11,0,0,0,-1
01_AE.CN.2009.09GX332_E332N_N334S.,11,0,0,0,0
01_AE.CN.2009.09GX268.MG655196,14,0,0,0,-1
01_AE.CN.2009.09GX285.MG655197,12,0,0,0,-1
01_AE.CN.2009.09GX286.MG655198,12,0,0,0,0
01_AE.CN.2009.09GX300.MG655199,16,0,0,0,0
01_AE.CN.2009.09GX310.MG655200,13,0,0,0,-1
01_AE.CN.2009.09GX311.MG655201,14,0,0,0,-1
01_AE.CN.2009.09GX319.MG655202,11,0,0,0,-1
01_AE.CN.2009.09GX330.MG655203,14,0,0,0,1
01_AE.CN.2009.09GX332.MG655204,11,0,0,0,0
01_AE.CN.2015.15JS01_E332N_N334S.,11,0,0,0,0
01_AE.CN.2015.15JS07_E332N_N334S.,12,0,0,0,1
01_AE.CN.2015.15JS47_E169K.,11,0,0,0,0
01_AE.CN.2015.15JS47_E169K_Q171K.,11,0,0,0,0
01_AE.CN.2015.15JS47_E332N_N334S.,11,0,0,0,0
01_AE.CN.2015.15JS47_Q171K.,11,0,0,0,0
01_AE.CN.2015.15JS48_E332N_N334S.,12,1,0,0,0
